"race_feedback","budget_shown","year_shown","duration_shown","race_pick","budget_pick","year_pick","duration_pick","gender","base_race","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","choice-8","race","age","gender_code","race_code","num_excluded_total"
0,1,1,1,0,1,1,1,"Woman",2,"On The Basis of Sex","Ali","The Founder","A Beautiful Day in the Neighborhood","Hitchcock","Jobs","Harriet","Oppenheimer","Asian / Pacific Islander",54,0,0,138
1,0,1,1,0,0,0,1,"Woman",2,"On The Basis of Sex","J. Edgar","42","A Beautiful Day in the Neighborhood","The Greatest Showman","Ali","Jobs","Selma","White / Caucasian",27,0,1,138
0,1,1,1,0,1,1,1,"Man",3,"Selma","Harriet","Rocketman","Jobs","42","Ali","On The Basis of Sex","Walk the Line","Black or African American",40,1,0,138
0,1,1,1,0,1,0,1,"Woman",0,"Walk the Line","The King's Speech","Braveheart","Tolkien","Hitchcock","Oppenheimer","Nixon","The Aviator","White / Caucasian",61,0,1,138
1,0,1,1,0,0,0,1,"Man",0,"The Founder","A Beautiful Mind","The Imitation Game","Chaplin","Hitchcock","Rocketman","Selma","Patton","White / Caucasian",34,1,1,138
1,0,1,1,0,1,1,0,"Woman",1,"Walk the Line","Harriet","J. Edgar","Tolkien","The Aviator","A Beautiful Day in the Neighborhood","Rocketman","The Greatest Showman","White / Caucasian",57,0,1,138
1,1,0,1,0,0,1,0,"Man",1,"Jobs","Ali","Patton","Braveheart","Walk the Line","A Beautiful Day in the Neighborhood","Rocketman","The Founder","White / Caucasian",32,1,1,138
1,1,0,1,0,0,0,1,"Man",1,"The Aviator","Oppenheimer","A Beautiful Mind","Ali","Rocketman","The Greatest Showman","Walk the Line","Chaplin","White / Caucasian",38,1,1,138
0,1,1,1,0,1,1,1,"Man",1,"The Doors","The Founder","A Beautiful Day in the Neighborhood","LBJ","Jobs","Chaplin","Harriet","Walk the Line","White / Caucasian",31,1,1,138
0,1,1,1,0,0,1,0,"Woman",1,"A Beautiful Day in the Neighborhood","Hitchcock","Rocketman","The Greatest Showman","Harriet","Oppenheimer","On The Basis of Sex","The Founder","White / Caucasian",43,0,1,138
